#duration|bpm|intensity|intensityR|loudness|pitch|rhythm|rhythm-strength|rhythm-tempo|rms|energy|path
357.262222223|126.048|1208.04|0.264696|9.22282|255.35|1.37596|2698.76|124.529|0.152167|0.0801942|TaggedVamp/01 - Do It Again.mp3
177.098594105|135.999|1653.82|0.290938|10.1658|182.736|1.33887|1405.53|132.512|0.226919|0.162193|TaggedVamp/01 Arnold Layne.mp3
184.041360545|80.7495|1386.46|0.160151|9.65196|264.302|1.34943|2471.4|80.7495|0.15673|0.10481|TaggedVamp/01 Deceptacon (original).m4a
429.151201814|126.048|1416.39|0.312906|9.42241|187.503|1.36319|2409.94|124.529|0.191399|0.112298|TaggedVamp/01 Gentlemen Take Polaroids.mp3
190.310748300|161.499|1887.03|0.367281|9.55583|233.738|1.37356|4188.81|156.605|0.277522|0.169769|TaggedVamp/01 Throw It Back.m4a
227.416235828|132.512|1689.6|0.256058|9.84767|183.051|1.34899|3679.54|129.199|0.198454|0.105211|TaggedVamp/01-personal jesus.mp3
220.937868481|117.454|1317.34|0.269578|9.16227|228.674|1.3585|3413.15|58.3951|0.139937|0.0723865|TaggedVamp/01. Bette Davis Eyes.mp3
439.646621316|132.512|2439.29|0.22938|11.1156|248.255|1.36939|2886.93|265.024|0.256264|0.149048|TaggedVamp/01. Read My Mind (Pet Shop Boys 'Stars Are Blazing' Mix).mp3
248.987573696|166.709|736.36|0.227698|8.01018|220.401|1.34151|911.189|175.185|0.119778|0.0700757|TaggedVamp/01. The Fairest of the Seasons.mp3
227.671655329|97.5088|1514.69|0.208394|9.78859|259.811|1.34057|2569.16|191.406|0.181833|0.0992865|TaggedVamp/01. These Eyes.mp3
154.737777778|79.5072|1344.01|0.263898|9.02934|187.436|1.3384|3484.85|159.014|0.126837|0.0859862|TaggedVamp/02 Beat on the Brat.mp3
256.394739229|123.047|833.842|0.358041|7.8811|201.255|1.31572|2483.49|60.0927|0.104979|0.0501107|TaggedVamp/02 Dreams.mp3
238.979773243|90.6661|1455.57|0.332521|9.4951|183.415|1.32558|3281.16|89.1029|0.192171|0.106557|TaggedVamp/02 Freedom.m4a
179.165170068|123.047|1929.54|0.241008|10.5299|206.524|1.37489|2124.14|60.4441|0.21184|0.146448|TaggedVamp/02 I Wanna Be Your Dog.m4a
220.009070295|109.957|1682.63|0.185494|10.2096|280.87|1.37681|3217.9|210.938|0.165311|0.0769917|TaggedVamp/02 Sir Duke.m4a
300.141133787|97.5088|2566.03|0.233562|11.4107|348.752|1.3345|4088.47|96.5975|0.301722|0.171089|TaggedVamp/02. Lust for Life (The Prodigy Remix).m4a
213.344943311|191.406|594.444|0.354673|7.21058|192.784|1.32879|687.488|178.206|0.123983|0.078691|TaggedVamp/02. These Days.mp3
195.512018141|156.605|514.934|0.271511|6.8104|200.426|1.29124|1521.11|159.014|0.0491844|0.0361536|TaggedVamp/03 - Oh! You Pretty Things (Bowpromo mix).mp3
134.931156463|89.1029|727.521|0.247758|8.04963|217.428|1.34793|2287.35|175.185|0.0921349|0.0410327|TaggedVamp/03 Never Going Back Again.mp3
174.962358277|126.048|1537.87|0.244617|9.79953|264.865|1.34585|1664.07|123.047|0.206683|0.131352|TaggedVamp/03 See Emily Play.mp3
278.175056690|123.047|1708.74|0.372225|9.44593|239.58|1.3625|3015|60.4441|0.238021|0.134078|TaggedVamp/03 Silver Screen (Shower Scene).m4a
154.157278912|147.656|1800.98|0.195211|10.3556|308.773|1.35617|2400.42|71.7773|0.199761|0.114421|TaggedVamp/03. I Hear A Symphony.mp3
313.260408164|103.359|1779.37|0.18662|10.416|194.358|1.37762|1825.44|100.349|0.164277|0.104576|TaggedVamp/03. Lust for Life.mp3
171.804444445|86.1328|767.634|0.307502|8.23608|265.615|1.36962|1427.58|172.266|0.109107|0.0586911|TaggedVamp/04 Flowers Of Romance.m4a
239.142312926|129.199|1980.96|0.231756|10.4746|283.504|1.38076|3219.75|252.096|0.213429|0.142989|TaggedVamp/04 Isley Brothers - That Lady.mp3
185.643537415|107.666|1984.29|0.275811|10.7263|186.964|1.36247|3286.66|206.719|0.235017|0.1285|TaggedVamp/04 Midnight Dipper.m4a
280.706031746|105.469|556.563|0.404128|7.24328|249.193|1.33486|1075.51|106.556|0.113281|0.0504882|TaggedVamp/04 They Can't Take That Away from Me.m4a
254.862222223|114.844|1730.2|0.249358|10.1894|202.518|1.3763|2722.68|113.582|0.193495|0.107589|TaggedVamp/04-enjoy the silence.mp3
312.261950114|147.656|1374.59|0.232211|9.44519|232.476|1.34546|1428.32|147.656|0.171217|0.119615|TaggedVamp/04. Venus in Furs.m4a
161.309024944|117.454|1930.57|0.316586|10.4343|231.671|1.36169|2405.77|58.3951|0.243693|0.172967|TaggedVamp/05 Eat, Sleep, Wake (Nothing But You).m4a
547.642630386|95.7031|1119.18|0.531433|8.23361|140.781|1.33448|3172.06|47.4126|0.211006|0.11539|TaggedVamp/05-useless (the kruder + dorfmeister session).mp3
180.953106576|129.199|724.743|0.368888|7.98749|173.544|1.35064|1264.75|126.048|0.109648|0.0536358|TaggedVamp/06 - Kooks (Bowpromo mix).mp3
212.787664399|101.333|1340.99|0.377717|9.37308|222.856|1.34392|1932.01|99.384|0.212227|0.145814|TaggedVamp/06 Dark Park.m4a
212.346485261|99.384|676.46|0.487979|7.27452|206.932|1.35179|2021.91|24.5509|0.124531|0.0502357|TaggedVamp/06 Electric Relaxation.m4a
359.700317461|95.7031|1066.87|0.265017|9.02606|188.505|1.36176|968.038|93.1166|0.138899|0.0956432|TaggedVamp/06. All Tomorrow's Parties.m4a
134.907936508|80.7495|2334.33|0.333076|10.1808|266.22|1.35621|6318.37|80.1235|0.362462|0.180652|TaggedVamp/07 Big Booty.m4a
217.478095238|120.185|1392.29|0.243733|9.48294|238.103|1.3328|3503.81|59.7453|0.164225|0.0894082|TaggedVamp/07 Heatwave - Boogie Nights.mp3
212.160725624|126.048|614.251|0.200497|7.40312|335.217|1.34323|2667.07|126.048|0.0573656|0.0276523|TaggedVamp/09 Ring My Bell.mp3
705.607981860|132.512|1821.6|0.277043|10.1711|215.912|1.36486|3304.22|129.199|0.256191|0.159102|TaggedVamp/1-10 Beth Orton-  Carmella (Four Tet Remix).mp3
218.499773243|132.512|1605.62|0.349288|9.82659|203.783|1.36127|1548.71|130.835|0.237103|0.159353|TaggedVamp/10 Oblivions.m4a
124.273197279|161.499|1331.2|0.262437|9.39815|205.87|1.34473|2683.05|79.5072|0.174746|0.0799678|TaggedVamp/10. Ain't No Sunshine.mp3
240.883809524|139.675|1557.43|0.115058|10.0493|272.505|1.367|1670.64|67.5551|0.161841|0.103673|TaggedVamp/10. Virgina Plain.mp3
138.808888889|132.512|1036.02|0.204998|8.50424|271.786|1.38671|2285.89|132.512|0.110922|0.0525151|TaggedVamp/11 James Bond.mp3
157.918911565|139.675|2008.46|0.132011|10.3422|312.471|1.35952|3398.86|67.9996|0.206129|0.102684|TaggedVamp/11. Baby Love.mp3
152.531882087|156.605|1340.72|0.370403|9.44539|176.311|1.34832|2140.16|151.999|0.178115|0.12715|TaggedVamp/12 None of My Friends.m4a
214.366621316|117.454|2643.65|0.195314|11.8381|256.763|1.34041|2313.36|116.134|0.291294|0.191842|TaggedVamp/12-enjoy the silence (reinterpreted by mike shinoda).mp3
162.562902495|126.048|1777.32|0.266764|10.1229|206.3|1.37151|2027.02|62.642|0.194944|0.143355|TaggedVamp/13 Shiny New Model.m4a
202.036825397|101.333|1589.07|0.395394|9.58766|188.983|1.37136|3278.6|49.9321|0.242212|0.117632|TaggedVamp/13 Summer Girl.m4a
223.422403628|99.384|2080.41|0.212451|10.5366|261.627|1.37194|4560.92|98.4375|0.226189|0.103196|TaggedVamp/14. Will It Go Round In Circles.mp3
203.174603175|109.957|1599.11|0.22877|9.75589|247.758|1.35431|3296.56|54.1149|0.158474|0.0726413|TaggedVamp/15 Jet Black.m4a
255.210521542|172.266|1218.35|0.327631|8.6192|214.161|1.3573|4040.55|166.709|0.164791|0.060775|TaggedVamp/15 Mother's Mother's Magazines.m4a
222.632925170|166.709|1547.84|0.358155|9.56341|200.174|1.3521|2698.37|82.0313|0.219665|0.14373|TaggedVamp/15 People's Faces (Streatham Version).m4a
272.370068028|117.454|1215.5|0.302424|8.75236|281.626|1.34318|3026.77|229.688|0.169378|0.0962179|TaggedVamp/16 Water Me Down.m4a
