#sort key order: score|rhythm-strength|intensity
#score|tempo|intensity|intensityR|loudness|pitch|rhythm|rhythm-strength|rhythm-tempo|rms|energy|path
#
116.1|96|1119|-5.49|8.23|141|1.33|3172|47|-13.51|-18.76|TaggedVamp/05-useless (the kruder + dorfmeister session).mp3
122.1|80|1344|-11.57|9.03|187|1.34|3485|159|-17.94|-21.31|TaggedVamp/02 Beat on the Brat.mp3
129.0|91|1456|-9.56|9.50|183|1.33|3281|89|-14.33|-19.45|TaggedVamp/02 Freedom.m4a
134.3|96|1067|-11.53|9.03|189|1.36|968|93|-17.15|-20.39|TaggedVamp/06. All Tomorrow's Parties.m4a
134.3|98|1924|-8.45|10.10|185|1.35|2383|191|-10.19|-13.70|TaggedVamp/Paul McCartney - 01  Too Many People.mp3
135.1|94|886|-9.51|8.14|194|1.37|2465|125|-19.85|-27.31|TaggedVamp/28. Nightclubbing (Baby Doc Remix).mp3
138.4|101|1589|-8.06|9.59|189|1.37|3279|50|-12.32|-18.59|TaggedVamp/13 Summer Girl.m4a
139.2|89|728|-12.12|8.05|217|1.35|2287|175|-20.71|-27.74|TaggedVamp/03 Never Going Back Again.mp3
141.7|103|1779|-14.58|10.42|194|1.38|1825|100|-15.69|-19.61|TaggedVamp/03. Lust for Life.mp3
141.9|108|1984|-11.19|10.73|187|1.36|3287|207|-12.58|-17.82|TaggedVamp/04 Midnight Dipper.m4a
143.4|99|676|-6.23|7.27|207|1.35|2022|25|-18.09|-25.98|TaggedVamp/06 Electric Relaxation.m4a
146.1|81|1386|-15.91|9.65|264|1.35|2471|81|-16.10|-19.59|TaggedVamp/01 Deceptacon (original).m4a
146.6|81|2334|-9.55|10.18|266|1.36|6318|80|-8.81|-14.86|TaggedVamp/07 Big Booty.m4a
146.8|129|1220|-10.37|9.32|167|1.40|1976|252|-16.18|-22.08|TaggedVamp/17. Bang A Gong (Get It On).m4a
148.8|89|1478|-8.93|9.53|248|1.37|2288|44|-11.28|-16.57|TaggedVamp/22 IBTIHAJ.m4a
149.7|129|725|-8.66|7.99|174|1.35|1265|126|-19.20|-25.41|TaggedVamp/06 - Kooks (Bowpromo mix).mp3
150.1|99|1632|-12.34|9.98|227|1.36|2685|98|-13.97|-18.64|TaggedVamp/The Rolling Stones - It's All Over Now.mp3
150.3|101|1341|-8.46|9.37|223|1.34|1932|99|-13.46|-16.72|TaggedVamp/06 Dark Park.m4a
151.3|86|768|-10.24|8.24|266|1.37|1428|172|-19.24|-24.63|TaggedVamp/04 Flowers Of Romance.m4a
152.5|115|1730|-12.06|10.19|203|1.38|2723|114|-14.27|-19.36|TaggedVamp/04-enjoy the silence.mp3
